OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,WINPARTY,WINPERCENT,WINCATEGORY,TOTBALLOTSLINK,INPERSON,TOTBALLOTS,CANDIDATE1,PARTY1,NUMVOTES1,PERCVOTE1,CANDIDATE2,PARTY2,NUMVOTES2,PERCVOTE2,CANDIDATE3,PARTY3,NUMVOTES3,PERCVOTE3
83,925,OLD MILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,925,OLD MILL,Fairfax County,Hillary Clinton,0.261905,10,294,282,294,Hillary Clinton,Hillary Clinton,178,0.605442,Martin J. O'Malley,Martin J. O'Malley,3,0.010204,Bernie Sanders,Bernie Sanders,101,0.343537
84,418,LYNBROOK,Fairfax,2016-03-16T11:51:43.000Z,stulad,418,LYNBROOK,Fairfax County,Hillary Clinton,0.268734,10,387,378,387,Hillary Clinton,Hillary Clinton,239,0.617571,Martin J. O'Malley,Martin J. O'Malley,4,0.010336,Bernie Sanders,Bernie Sanders,135,0.348837
85,713,TIMBER LANE,Fairfax,2016-03-16T11:51:43.000Z,stulad,713,TIMBER LANE,Fairfax County,Hillary Clinton,0.266762,10,701,678,701,Hillary Clinton,Hillary Clinton,431,0.614836,Martin J. O'Malley,Martin J. O'Malley,3,0.00428,Bernie Sanders,Bernie Sanders,244,0.348074
86,615,WOODLEY,Fairfax,2016-03-16T11:51:43.000Z,stulad,615,WOODLEY,Fairfax County,Hillary Clinton,0.336252,30,571,534,571,Hillary Clinton,Hillary Clinton,359,0.628722,Martin J. O'Malley,Martin J. O'Malley,8,0.014011,Bernie Sanders,Bernie Sanders,167,0.292469
87,824,ORANGE,Fairfax,2016-03-16T11:51:43.000Z,stulad,824,ORANGE,Fairfax County,Hillary Clinton,0.228869,10,769,723,769,Hillary Clinton,Hillary Clinton,447,0.581274,Martin J. O'Malley,Martin J. O'Malley,5,0.006502,Bernie Sanders,Bernie Sanders,271,0.352406
88,711,PRICE,Fairfax,2016-03-16T11:51:43.000Z,stulad,711,PRICE,Fairfax County,Hillary Clinton,0.265823,10,474,438,474,Hillary Clinton,Hillary Clinton,280,0.590717,Martin J. O'Malley,Martin J. O'Malley,4,0.008439,Bernie Sanders,Bernie Sanders,154,0.324895
89,612,WAYNEWOOD,Fairfax,2016-03-16T11:51:43.000Z,stulad,612,WAYNEWOOD,Fairfax County,Hillary Clinton,0.303529,30,425,398,425,Hillary Clinton,Hillary Clinton,226,0.531765,Martin J. O'Malley,Martin J. O'Malley,9,0.021176,Bernie Sanders,Bernie Sanders,97,0.228235
90,507,LINCOLNIA,Fairfax,2016-03-16T11:51:43.000Z,stulad,507,LINCOLNIA,Fairfax County,Hillary Clinton,0.321622,30,740,693,740,Hillary Clinton,Hillary Clinton,465,0.628378,Martin J. O'Malley,Martin J. O'Malley,1,0.001351,Bernie Sanders,Bernie Sanders,227,0.306757
91,911,NAVY,Fairfax,2016-03-16T11:51:43.000Z,stulad,911,NAVY,Fairfax County,Hillary Clinton,0.312217,30,663,618,663,Hillary Clinton,Hillary Clinton,412,0.621418,Martin J. O'Malley,Martin J. O'Malley,1,0.001508,Bernie Sanders,Bernie Sanders,205,0.309201
92,226,WOLFTRAP,Fairfax,2016-03-16T11:51:43.000Z,stulad,226,WOLFTRAP,Fairfax County,Hillary Clinton,0.400788,30,761,697,761,Hillary Clinton,Hillary Clinton,500,0.65703,Martin J. O'Malley,Martin J. O'Malley,2,0.002628,Bernie Sanders,Bernie Sanders,195,0.256242
93,115,RAVENSWORTH,Fairfax,2016-03-16T11:51:43.000Z,stulad,115,RAVENSWORTH,Fairfax County,Hillary Clinton,0.174731,10,372,358,372,Hillary Clinton,Hillary Clinton,210,0.564516,Martin J. O'Malley,Martin J. O'Malley,3,0.008065,Bernie Sanders,Bernie Sanders,145,0.389785
94,704,FREEDOM HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,704,FREEDOM HILL,Fairfax County,Hillary Clinton,0.320755,30,477,444,477,Hillary Clinton,Hillary Clinton,298,0.624738,Martin J. O'Malley,Martin J. O'Malley,1,0.002096,Bernie Sanders,Bernie Sanders,145,0.303983
95,622,LORTON STATION,Fairfax,2016-03-16T11:51:43.000Z,stulad,622,LORTON STATION,Fairfax County,Hillary Clinton,0.321101,30,763,735,763,Hillary Clinton,Hillary Clinton,489,0.640891,Martin J. O'Malley,Martin J. O'Malley,2,0.002621,Bernie Sanders,Bernie Sanders,244,0.31979
96,321,CLEARVIEW,Fairfax,2016-03-16T11:51:43.000Z,stulad,321,CLEARVIEW,Fairfax County,Hillary Clinton,0.099886,2,881,832,881,Hillary Clinton,Hillary Clinton,459,0.520999,Martin J. O'Malley,Martin J. O'Malley,2,0.00227,Bernie Sanders,Bernie Sanders,371,0.421112
97,325,HUTCHISON,Fairfax,2016-03-16T11:51:43.000Z,stulad,325,HUTCHISON,Fairfax County,Hillary Clinton,0.173913,10,437,424,437,Hillary Clinton,Hillary Clinton,249,0.569794,Martin J. O'Malley,Martin J. O'Malley,2,0.004577,Bernie Sanders,Bernie Sanders,173,0.395881
98,329,SENECA,Fairfax,2016-03-16T11:51:43.000Z,stulad,329,SENECA,Fairfax County,Hillary Clinton,0.366057,30,601,554,601,Hillary Clinton,Hillary Clinton,385,0.640599,Martin J. O'Malley,Martin J. O'Malley,4,0.006656,Bernie Sanders,Bernie Sanders,165,0.274542
99,203,FLORIS,Fairfax,2016-03-16T11:51:43.000Z,stulad,203,FLORIS,Fairfax County,Hillary Clinton,0.236641,10,786,737,786,Hillary Clinton,Hillary Clinton,459,0.583969,Martin J. O'Malley,Martin J. O'Malley,4,0.005089,Bernie Sanders,Bernie Sanders,273,0.347328
100,320,HERNDON #2,Fairfax,2016-03-16T11:51:43.000Z,stulad,320,HERNDON #2,Fairfax County,Hillary Clinton,0.204082,10,882,848,882,Hillary Clinton,Hillary Clinton,512,0.580499,Martin J. O'Malley,Martin J. O'Malley,4,0.004535,Bernie Sanders,Bernie Sanders,332,0.376417
101,712,SHREVE,Fairfax,2016-03-16T11:51:43.000Z,stulad,712,SHREVE,Fairfax County,Hillary Clinton,0.245658,10,403,378,403,Hillary Clinton,Hillary Clinton,238,0.590571,Martin J. O'Malley,Martin J. O'Malley,1,0.002481,Bernie Sanders,Bernie Sanders,139,0.344913
102,608,KIRKSIDE,Fairfax,2016-03-16T11:51:43.000Z,stulad,608,KIRKSIDE,Fairfax County,Hillary Clinton,0.453642,30,604,565,604,Hillary Clinton,Hillary Clinton,419,0.693709,Martin J. O'Malley,Martin J. O'Malley,1,0.001656,Bernie Sanders,Bernie Sanders,145,0.240066
103,721,MERRIFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,721,MERRIFIELD,Fairfax County,Hillary Clinton,0.070842,2,974,931,974,Hillary Clinton,Hillary Clinton,500,0.513347,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,431,0.442505
104,229,FOX MILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,229,FOX MILL,Fairfax County,Hillary Clinton,0.227761,10,1023,954,1023,Hillary Clinton,Hillary Clinton,589,0.575758,Martin J. O'Malley,Martin J. O'Malley,9,0.008798,Bernie Sanders,Bernie Sanders,356,0.347996
105,225,TERRASET,Fairfax,2016-03-16T11:51:43.000Z,stulad,225,TERRASET,Fairfax County,Hillary Clinton,0.096807,2,971,918,971,Hillary Clinton,Hillary Clinton,504,0.519053,Martin J. O'Malley,Martin J. O'Malley,4,0.004119,Bernie Sanders,Bernie Sanders,410,0.422245
106,235,FRYING PAN,Fairfax,2016-03-16T11:51:43.000Z,stulad,235,FRYING PAN,Fairfax County,Hillary Clinton,0.182258,10,620,582,620,Hillary Clinton,Hillary Clinton,346,0.558065,Martin J. O'Malley,Martin J. O'Malley,2,0.003226,Bernie Sanders,Bernie Sanders,233,0.375806
107,327,SUGARLAND,Fairfax,2016-03-16T11:51:43.000Z,stulad,327,SUGARLAND,Fairfax County,Hillary Clinton,0.142308,10,780,739,780,Hillary Clinton,Hillary Clinton,419,0.537179,Martin J. O'Malley,Martin J. O'Malley,2,0.002564,Bernie Sanders,Bernie Sanders,308,0.394872
108,604,BUCKNELL,Fairfax,2016-03-16T11:51:43.000Z,stulad,604,BUCKNELL,Fairfax County,Hillary Clinton,0.294903,10,824,776,824,Hillary Clinton,Hillary Clinton,512,0.621359,Martin J. O'Malley,Martin J. O'Malley,2,0.002427,Bernie Sanders,Bernie Sanders,269,0.326456
109,902,BROOKFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,902,BROOKFIELD,Fairfax County,Hillary Clinton,0.212428,10,692,674,692,Hillary Clinton,Hillary Clinton,409,0.59104,Martin J. O'Malley,Martin J. O'Malley,3,0.004335,Bernie Sanders,Bernie Sanders,262,0.378613
110,513,SAINT ALBANS,Fairfax,2016-03-16T11:51:43.000Z,stulad,513,SAINT ALBANS,Fairfax County,Hillary Clinton,0.314465,30,636,607,636,Hillary Clinton,Hillary Clinton,401,0.630503,Martin J. O'Malley,Martin J. O'Malley,5,0.007862,Bernie Sanders,Bernie Sanders,201,0.316038
111,110,NORTH SPRINGFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,110,NORTH SPRINGFIELD,Fairfax County,Hillary Clinton,0.186698,10,857,824,857,Hillary Clinton,Hillary Clinton,489,0.570595,Martin J. O'Malley,Martin J. O'Malley,6,0.007001,Bernie Sanders,Bernie Sanders,329,0.383897
112,609,MARLAN,Fairfax,2016-03-16T11:51:43.000Z,stulad,609,MARLAN,Fairfax County,Hillary Clinton,0.340866,30,531,489,531,Hillary Clinton,Hillary Clinton,335,0.630885,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,154,0.290019
113,732,OAK MARR,Fairfax,2016-03-16T11:51:43.000Z,stulad,732,OAK MARR,Fairfax County,Hillary Clinton,0.279037,10,706,640,706,Hillary Clinton,Hillary Clinton,417,0.590652,Martin J. O'Malley,Martin J. O'Malley,2,0.002833,Bernie Sanders,Bernie Sanders,220,0.311615
114,701,BLAKE,Fairfax,2016-03-16T11:51:43.000Z,stulad,701,BLAKE,Fairfax County,Hillary Clinton,0.171739,10,920,868,920,Hillary Clinton,Hillary Clinton,510,0.554348,Martin J. O'Malley,Martin J. O'Malley,6,0.006522,Bernie Sanders,Bernie Sanders,352,0.382609
115,727,OAKTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,727,OAKTON,Fairfax County,Hillary Clinton,0.42278,30,518,467,518,Hillary Clinton,Hillary Clinton,342,0.660232,Martin J. O'Malley,Martin J. O'Malley,2,0.003861,Bernie Sanders,Bernie Sanders,123,0.237452
116,238,CAMERON GLEN,Fairfax,2016-03-16T11:51:43.000Z,stulad,238,CAMERON GLEN,Fairfax County,Hillary Clinton,0.340557,30,646,607,646,Hillary Clinton,Hillary Clinton,411,0.636223,Martin J. O'Malley,Martin J. O'Malley,5,0.00774,Bernie Sanders,Bernie Sanders,191,0.295666
117,319,HERNDON #1,Fairfax,2016-03-16T11:51:43.000Z,stulad,319,HERNDON #1,Fairfax County,Hillary Clinton,0.066986,2,836,797,836,Hillary Clinton,Hillary Clinton,422,0.504785,Martin J. O'Malley,Martin J. O'Malley,9,0.010766,Bernie Sanders,Bernie Sanders,366,0.437799
118,236,STUART,Fairfax,2016-03-16T11:51:43.000Z,stulad,236,STUART,Fairfax County,Hillary Clinton,0.259819,10,331,309,331,Hillary Clinton,Hillary Clinton,197,0.595166,Martin J. O'Malley,Martin J. O'Malley,1,0.003021,Bernie Sanders,Bernie Sanders,111,0.335347
119,324,HERNDON #3,Fairfax,2016-03-16T11:51:43.000Z,stulad,324,HERNDON #3,Fairfax County,Hillary Clinton,0.072751,2,756,731,756,Hillary Clinton,Hillary Clinton,391,0.517196,Martin J. O'Malley,Martin J. O'Malley,6,0.007937,Bernie Sanders,Bernie Sanders,336,0.444444
120,222,RESTON #3,Fairfax,2016-03-16T11:51:43.000Z,stulad,222,RESTON #3,Fairfax County,Hillary Clinton,0.173484,10,709,676,709,Hillary Clinton,Hillary Clinton,399,0.562764,Martin J. O'Malley,Martin J. O'Malley,2,0.002821,Bernie Sanders,Bernie Sanders,276,0.389281
121,209,RESTON #2,Fairfax,2016-03-16T11:51:43.000Z,stulad,209,RESTON #2,Fairfax County,Hillary Clinton,0.184721,10,877,832,877,Hillary Clinton,Hillary Clinton,493,0.562144,Martin J. O'Malley,Martin J. O'Malley,7,0.007982,Bernie Sanders,Bernie Sanders,331,0.377423
122,208,RESTON #1,Fairfax,2016-03-16T11:51:43.000Z,stulad,208,RESTON #1,Fairfax County,Hillary Clinton,0.121519,10,790,752,790,Hillary Clinton,Hillary Clinton,422,0.534177,Martin J. O'Malley,Martin J. O'Malley,4,0.005063,Bernie Sanders,Bernie Sanders,326,0.412658
123,224,SOUTH LAKES,Fairfax,2016-03-16T11:51:43.000Z,stulad,224,SOUTH LAKES,Fairfax County,Hillary Clinton,0.232506,10,1329,1235,1329,Hillary Clinton,Hillary Clinton,768,0.577878,Martin J. O'Malley,Martin J. O'Malley,8,0.00602,Bernie Sanders,Bernie Sanders,459,0.345372
124,220,DOGWOOD,Fairfax,2016-03-16T11:51:43.000Z,stulad,220,DOGWOOD,Fairfax County,Hillary Clinton,0.246138,10,971,932,971,Hillary Clinton,Hillary Clinton,584,0.601442,Martin J. O'Malley,Martin J. O'Malley,3,0.00309,Bernie Sanders,Bernie Sanders,345,0.355304
125,306,GREAT FALLS,Fairfax,2016-03-16T11:51:43.000Z,stulad,306,GREAT FALLS,Fairfax County,Hillary Clinton,0.440506,30,395,357,395,Hillary Clinton,Hillary Clinton,264,0.668354,Martin J. O'Malley,Martin J. O'Malley,2,0.005063,Bernie Sanders,Bernie Sanders,90,0.227848
126,328,HICKORY,Fairfax,2016-03-16T11:51:43.000Z,stulad,328,HICKORY,Fairfax County,Hillary Clinton,0.348881,30,536,477,536,Hillary Clinton,Hillary Clinton,332,0.619403,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,145,0.270522
127,309,KENMORE,Fairfax,2016-03-16T11:51:43.000Z,stulad,309,KENMORE,Fairfax County,Hillary Clinton,0.380403,30,694,636,694,Hillary Clinton,Hillary Clinton,449,0.646974,Martin J. O'Malley,Martin J. O'Malley,4,0.005764,Bernie Sanders,Bernie Sanders,185,0.266571
128,331,SPRING HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,331,SPRING HILL,Fairfax County,Hillary Clinton,0.4,30,455,409,455,Hillary Clinton,Hillary Clinton,295,0.648352,Martin J. O'Malley,Martin J. O'Malley,1,0.002198,Bernie Sanders,Bernie Sanders,113,0.248352
129,304,COOPER,Fairfax,2016-03-16T11:51:43.000Z,stulad,304,COOPER,Fairfax County,Hillary Clinton,0.389034,30,383,346,383,Hillary Clinton,Hillary Clinton,247,0.644909,Martin J. O'Malley,Martin J. O'Malley,1,0.002611,Bernie Sanders,Bernie Sanders,98,0.255875
130,314,MCLEAN,Fairfax,2016-03-16T11:51:43.000Z,stulad,314,MCLEAN,Fairfax County,Hillary Clinton,0.36612,30,549,478,549,Hillary Clinton,Hillary Clinton,338,0.615665,Martin J. O'Malley,Martin J. O'Malley,3,0.005464,Bernie Sanders,Bernie Sanders,137,0.249545
131,303,CHURCHILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,303,CHURCHILL,Fairfax County,Hillary Clinton,0.401786,30,336,305,336,Hillary Clinton,Hillary Clinton,219,0.651786,Martin J. O'Malley,Martin J. O'Malley,2,0.005952,Bernie Sanders,Bernie Sanders,84,0.25
132,311,LANGLEY,Fairfax,2016-03-16T11:51:43.000Z,stulad,311,LANGLEY,Fairfax County,Hillary Clinton,0.430288,30,416,360,416,Hillary Clinton,Hillary Clinton,269,0.646635,Martin J. O'Malley,Martin J. O'Malley,1,0.002404,Bernie Sanders,Bernie Sanders,90,0.216346
133,843,FAIR LAKES,Fairfax,2016-03-16T11:51:43.000Z,stulad,843,FAIR LAKES,Fairfax County,Hillary Clinton,0.158756,10,611,581,611,Hillary Clinton,Hillary Clinton,336,0.549918,Martin J. O'Malley,Martin J. O'Malley,6,0.00982,Bernie Sanders,Bernie Sanders,239,0.391162
134,132,MONUMENT,Fairfax,2016-03-16T11:51:43.000Z,stulad,132,MONUMENT,Fairfax County,Hillary Clinton,0.082999,2,747,688,747,Hillary Clinton,Hillary Clinton,375,0.502008,Martin J. O'Malley,Martin J. O'Malley,0,0,Bernie Sanders,Bernie Sanders,313,0.419009
135,131,EAGLE VIEW,Fairfax,2016-03-16T11:51:43.000Z,stulad,131,EAGLE VIEW,Fairfax County,Hillary Clinton,0.152597,10,616,575,616,Hillary Clinton,Hillary Clinton,333,0.540584,Martin J. O'Malley,Martin J. O'Malley,3,0.00487,Bernie Sanders,Bernie Sanders,239,0.387987
136,121,VILLA,Fairfax,2016-03-16T11:51:43.000Z,stulad,121,VILLA,Fairfax County,Hillary Clinton,0.154242,10,389,381,389,Hillary Clinton,Hillary Clinton,219,0.562982,Martin J. O'Malley,Martin J. O'Malley,3,0.007712,Bernie Sanders,Bernie Sanders,159,0.40874
137,729,NOTTOWAY,Fairfax,2016-03-16T11:51:43.000Z,stulad,729,NOTTOWAY,Fairfax County,Hillary Clinton,0.243871,10,775,690,775,Hillary Clinton,Hillary Clinton,439,0.566452,Martin J. O'Malley,Martin J. O'Malley,1,0.00129,Bernie Sanders,Bernie Sanders,250,0.322581
138,218,VIENNA #6,Fairfax,2016-03-16T11:51:43.000Z,stulad,218,VIENNA #6,Fairfax County,Hillary Clinton,0.267035,10,543,502,543,Hillary Clinton,Hillary Clinton,322,0.593002,Martin J. O'Malley,Martin J. O'Malley,3,0.005525,Bernie Sanders,Bernie Sanders,177,0.325967
139,213,VIENNA #1,Fairfax,2016-03-16T11:51:43.000Z,stulad,213,VIENNA #1,Fairfax County,Hillary Clinton,0.284004,10,919,855,919,Hillary Clinton,Hillary Clinton,556,0.605005,Martin J. O'Malley,Martin J. O'Malley,4,0.004353,Bernie Sanders,Bernie Sanders,295,0.321001
140,214,VIENNA #2,Fairfax,2016-03-16T11:51:43.000Z,stulad,214,VIENNA #2,Fairfax County,Hillary Clinton,0.239554,10,718,676,718,Hillary Clinton,Hillary Clinton,423,0.589136,Martin J. O'Malley,Martin J. O'Malley,2,0.002786,Bernie Sanders,Bernie Sanders,251,0.349582
141,427,ISLAND CREEK,Fairfax,2016-03-16T11:51:43.000Z,stulad,427,ISLAND CREEK,Fairfax County,Hillary Clinton,0.400998,30,601,580,601,Hillary Clinton,Hillary Clinton,410,0.682196,Martin J. O'Malley,Martin J. O'Malley,1,0.001664,Bernie Sanders,Bernie Sanders,169,0.281198
142,332,COATES,Fairfax,2016-03-16T11:51:43.000Z,stulad,332,COATES,Fairfax County,Hillary Clinton,0.089194,2,583,560,583,Hillary Clinton,Hillary Clinton,305,0.523156,Martin J. O'Malley,Martin J. O'Malley,2,0.003431,Bernie Sanders,Bernie Sanders,253,0.433962
143,237,MCNAIR,Fairfax,2016-03-16T11:51:43.000Z,stulad,237,MCNAIR,Fairfax County,Hillary Clinton,0.130769,10,650,616,650,Hillary Clinton,Hillary Clinton,349,0.536923,Martin J. O'Malley,Martin J. O'Malley,3,0.004615,Bernie Sanders,Bernie Sanders,264,0.406154
144,854,NEWGATE SOUTH,Fairfax,2016-03-16T11:51:43.000Z,stulad,854,NEWGATE SOUTH,Fairfax County,Hillary Clinton,0.237991,10,458,420,458,Hillary Clinton,Hillary Clinton,262,0.572052,Martin J. O'Malley,Martin J. O'Malley,5,0.010917,Bernie Sanders,Bernie Sanders,153,0.334061
145,849,NEWGATE NORTH,Fairfax,2016-03-16T11:51:43.000Z,stulad,849,NEWGATE NORTH,Fairfax County,Hillary Clinton,0.198777,10,327,310,327,Hillary Clinton,Hillary Clinton,187,0.571865,Martin J. O'Malley,Martin J. O'Malley,1,0.003058,Bernie Sanders,Bernie Sanders,122,0.373089
146,618,NEWINGTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,618,NEWINGTON,Fairfax County,Hillary Clinton,0.167167,10,999,958,999,Hillary Clinton,Hillary Clinton,558,0.558559,Martin J. O'Malley,Martin J. O'Malley,9,0.009009,Bernie Sanders,Bernie Sanders,391,0.391391
147,629,SOUTH COUNTY,Fairfax,2016-03-16T11:51:43.000Z,stulad,629,SOUTH COUNTY,Fairfax County,Hillary Clinton,0.437624,30,505,489,505,Hillary Clinton,Hillary Clinton,354,0.70099,Martin J. O'Malley,Martin J. O'Malley,2,0.00396,Bernie Sanders,Bernie Sanders,133,0.263366
148,617,LORTON,Fairfax,2016-03-16T11:51:43.000Z,stulad,617,LORTON,Fairfax County,Hillary Clinton,0.380859,30,512,497,512,Hillary Clinton,Hillary Clinton,344,0.671875,Martin J. O'Malley,Martin J. O'Malley,4,0.007812,Bernie Sanders,Bernie Sanders,149,0.291016
149,628,LAUREL HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,628,LAUREL HILL,Fairfax County,Hillary Clinton,0.336499,30,737,713,737,Hillary Clinton,Hillary Clinton,480,0.651289,Martin J. O'Malley,Martin J. O'Malley,1,0.001357,Bernie Sanders,Bernie Sanders,232,0.31479
150,410,ROSE HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,410,ROSE HILL,Fairfax County,Hillary Clinton,0.236757,10,925,884,925,Hillary Clinton,Hillary Clinton,548,0.592432,Martin J. O'Malley,Martin J. O'Malley,6,0.006486,Bernie Sanders,Bernie Sanders,329,0.355676
151,420,VILLAGES,Fairfax,2016-03-16T11:51:43.000Z,stulad,420,VILLAGES,Fairfax County,Hillary Clinton,0.377724,30,826,792,826,Hillary Clinton,Hillary Clinton,551,0.66707,Martin J. O'Malley,Martin J. O'Malley,1,0.001211,Bernie Sanders,Bernie Sanders,239,0.289346
152,423,CLERMONT,Fairfax,2016-03-16T11:51:43.000Z,stulad,423,CLERMONT,Fairfax County,Hillary Clinton,0.263754,10,618,586,618,Hillary Clinton,Hillary Clinton,373,0.60356,Martin J. O'Malley,Martin J. O'Malley,1,0.001618,Bernie Sanders,Bernie Sanders,210,0.339806
153,411,VIRGINIA HILLS,Fairfax,2016-03-16T11:51:43.000Z,stulad,411,VIRGINIA HILLS,Fairfax County,Hillary Clinton,0.302326,30,516,482,516,Hillary Clinton,Hillary Clinton,318,0.616279,Martin J. O'Malley,Martin J. O'Malley,2,0.003876,Bernie Sanders,Bernie Sanders,162,0.313953
154,405,GROVETON,Fairfax,2016-03-16T11:51:43.000Z,stulad,405,GROVETON,Fairfax County,Hillary Clinton,0.342318,30,371,357,371,Hillary Clinton,Hillary Clinton,240,0.6469,Martin J. O'Malley,Martin J. O'Malley,2,0.005391,Bernie Sanders,Bernie Sanders,113,0.304582
155,429,HYBLA VALLEY,Fairfax,2016-03-16T11:51:43.000Z,stulad,429,HYBLA VALLEY,Fairfax County,Hillary Clinton,0.472754,30,679,658,679,Hillary Clinton,Hillary Clinton,488,0.718704,Martin J. O'Malley,Martin J. O'Malley,4,0.005891,Bernie Sanders,Bernie Sanders,167,0.24595
156,428,PINEWOOD,Fairfax,2016-03-16T11:51:43.000Z,stulad,428,PINEWOOD,Fairfax County,Hillary Clinton,0.41018,30,668,644,668,Hillary Clinton,Hillary Clinton,457,0.684132,Martin J. O'Malley,Martin J. O'Malley,3,0.004491,Bernie Sanders,Bernie Sanders,183,0.273952
157,413,FAIRFIELD,Fairfax,2016-03-16T11:51:43.000Z,stulad,413,FAIRFIELD,Fairfax County,Hillary Clinton,0.453362,30,461,454,461,Hillary Clinton,Hillary Clinton,330,0.715835,Martin J. O'Malley,Martin J. O'Malley,1,0.002169,Bernie Sanders,Bernie Sanders,121,0.262473
158,525,WALNUT HILL,Fairfax,2016-03-16T11:51:43.000Z,stulad,525,WALNUT HILL,Fairfax County,Hillary Clinton,0.238292,10,726,700,726,Hillary Clinton,Hillary Clinton,435,0.599174,Martin J. O'Malley,Martin J. O'Malley,3,0.004132,Bernie Sanders,Bernie Sanders,262,0.360882
159,508,MASONVILLE,Fairfax,2016-03-16T11:51:43.000Z,stulad,508,MASONVILLE,Fairfax County,Hillary Clinton,0.253333,10,675,628,675,Hillary Clinton,Hillary Clinton,396,0.586667,Martin J. O'Malley,Martin J. O'Malley,7,0.01037,Bernie Sanders,Bernie Sanders,225,0.333333
160,512,SLEEPY HOLLOW,Fairfax,2016-03-16T11:51:43.000Z,stulad,512,SLEEPY HOLLOW,Fairfax County,Hillary Clinton,0.195929,10,393,374,393,Hillary Clinton,Hillary Clinton,223,0.56743,Martin J. O'Malley,Martin J. O'Malley,5,0.012723,Bernie Sanders,Bernie Sanders,146,0.371501
161,502,BARCROFT,Fairfax,2016-03-16T11:51:43.000Z,stulad,502,BARCROFT,Fairfax County,Hillary Clinton,0.366667,30,390,357,390,Hillary Clinton,Hillary Clinton,250,0.641026,Martin J. O'Malley,Martin J. O'Malley,3,0.007692,Bernie Sanders,Bernie Sanders,107,0.274359
162,530,HOLMES #2,Fairfax,2016-03-16T11:51:43.000Z,stulad,530,HOLMES #2,Fairfax County,Hillary Clinton,0.269565,10,460,441,460,Hillary Clinton,Hillary Clinton,280,0.608696,Martin J. O'Malley,Martin J. O'Malley,5,0.01087,Bernie Sanders,Bernie Sanders,156,0.33913
163,505,GLEN FOREST,Fairfax,2016-03-16T11:51:43.000Z,stulad,505,GLEN FOREST,Fairfax County,Hillary Clinton,0.298932,10,562,539,562,Hillary Clinton,Hillary Clinton,351,0.624555,Martin J. O'Malley,Martin J. O'Malley,4,0.007117,Bernie Sanders,Bernie Sanders,183,0.325623
164,514,CROSSROADS,Fairfax,2016-03-16T11:51:43.000Z,stulad,514,CROSSROADS,Fairfax County,Hillary Clinton,0.533898,30,354,311,354,Hillary Clinton,Hillary Clinton,248,0.700565,Martin J. O'Malley,Martin J. O'Malley,2,0.00565,Bernie Sanders,Bernie Sanders,59,0.166667
165,501,BAILEYS,Fairfax,2016-03-16T11:51:43.000Z,stulad,501,BAILEYS,Fairfax County,Hillary Clinton,0.38177,30,757,720,757,Hillary Clinton,Hillary Clinton,504,0.665786,Martin J. O'Malley,Martin J. O'Malley,1,0.001321,Bernie Sanders,Bernie Sanders,215,0.284016
166,516,WEYANOKE,Fairfax,2016-03-16T11:51:43.000Z,stulad,516,WEYANOKE,Fairfax County,Hillary Clinton,0.273187,10,593,570,593,Hillary Clinton,Hillary Clinton,364,0.613828,Martin J. O'Malley,Martin J. O'Malley,4,0.006745,Bernie Sanders,Bernie Sanders,202,0.340641
167,527,EDSALL,Fairfax,2016-03-16T11:51:43.000Z,stulad,527,EDSALL,Fairfax County,Hillary Clinton,0.329519,30,437,416,437,Hillary Clinton,Hillary Clinton,279,0.638444,Martin J. O'Malley,Martin J. O'Malley,2,0.004577,Bernie Sanders,Bernie Sanders,135,0.308924
168,511,RAVENWOOD,Fairfax,2016-03-16T11:51:43.000Z,stulad,511,RAVENWOOD,Fairfax County,Hillary Clinton,0.387755,30,637,591,637,Hillary Clinton,Hillary Clinton,418,0.656201,Martin J. O'Malley,Martin J. O'Malley,2,0.00314,Bernie Sanders,Bernie Sanders,171,0.268446
169,802,CEDAR LAKE,Fairfax,2016-03-16T11:51:43.000Z,stulad,802,CEDAR LAKE,Fairfax County,Hillary Clinton,0.140426,10,235,225,235,Hillary Clinton,Hillary Clinton,128,0.544681,Martin J. O'Malley,Martin J. O'Malley,2,0.008511,Bernie Sanders,Bernie Sanders,95,0.404255
