OBJECTID,PRECINCTID,NAME,COUNTY,LASTUPDATE,LASTEDITOR,PRECINCTID_1,NAME_1,TOWNSHIP,REGVOTERS,TOTBALLOTSLINK,PERCVOTE,INPERSON,TOTBALLOTS
229,333,SALONA #2,Fairfax,2016-03-16T11:51:51.000Z,stulad,333,SALONA #2,Fairfax County,1683,454,0.269756,427,454
230,734,HUNTERS BRANCH,Fairfax,2016-03-16T11:51:51.000Z,stulad,734,HUNTERS BRANCH,Fairfax County,1960,331,0.168878,312,331
231,134,UNIVERSITY,Fairfax,2016-03-16T11:51:51.000Z,stulad,134,UNIVERSITY,Fairfax County,3125,337,0.10784,334,337
232,408,MOUNT EAGLE,Fairfax,2016-03-16T11:51:51.000Z,stulad,408,MOUNT EAGLE,Fairfax County,2207,338,0.153149,323,338
233,919,GREEN TRAILS,Fairfax,2016-03-16T11:51:51.000Z,stulad,919,GREEN TRAILS,Fairfax County,3953,664,0.167974,644,664
234,509,PLAZA,Fairfax,2016-03-16T11:51:51.000Z,stulad,509,PLAZA,Fairfax County,902,96,0.10643,95,96
235,109,LITTLE RUN,Fairfax,2016-03-16T11:51:51.000Z,stulad,109,LITTLE RUN,Fairfax County,1405,351,0.249822,337,351
236,520,SKYLINE,Fairfax,2016-03-16T11:51:51.000Z,stulad,520,SKYLINE,Fairfax County,2240,194,0.086607,184,194
237,506,HOLMES #1,Fairfax,2016-03-16T11:51:51.000Z,stulad,506,HOLMES #1,Fairfax County,643,45,0.069984,42,45
238,619,BELVOIR,Fairfax,2016-03-16T11:51:51.000Z,stulad,619,BELVOIR,Fairfax County,1980,434,0.219192,425,434
239,403,FORESTDALE,Fairfax,2016-03-16T11:51:51.000Z,stulad,403,FORESTDALE,Fairfax County,1284,183,0.142523,175,183
240,234,ALDRIN,Fairfax,2016-03-16T11:51:51.000Z,stulad,234,ALDRIN,Fairfax County,2573,605,0.235134,574,605
241,201,ARMSTRONG,Fairfax,2016-03-16T11:51:51.000Z,stulad,201,ARMSTRONG,Fairfax County,3328,772,0.231971,742,772
242,233,NORTH POINT,Fairfax,2016-03-16T11:51:51.000Z,stulad,233,NORTH POINT,Fairfax County,3246,855,0.263401,806,855
