Location Name,Accessible,PRECINCT,PRECINCT2,PRECINCT3,PRECINCT4,PRECINCT5,PRECINCT6,Address,City,X,Y,Location 1
ANCIENT TREE CLUBHOUSE,Y,8300016,8300022,,,,,12 HARBORSIDE DR,NORTHBROOK,-87.8626063585,42.1319573414,"(42.1319573414, -87.8626063585)"
MAPLE JR HIGH SCHOOL,Y,8300020,8300053,,,,,2370   SHERMER RD,NORTHBROOK,-87.829943512,42.1097331042,"(42.1097331042, -87.829943512)"
GLENVIEW UNITED METHODIST CHURCH,Y,8300024,,,,,,727   HARLEM AVE,GLENVIEW,-87.8050163601,42.0682278371,"(42.0682278371, -87.8050163601)"
ST CATHERINE LA BOURE SCHOOL,Y,8300025,,,,,,3425   THORNWOOD LN,GLENVIEW,-87.8426047979,42.0835683514,"(42.0835683514, -87.8426047979)"
CRESTWOOD PLACE,N,8300026,8300040,,,,,1000   WAUKEGAN RD,NORTHBROOK,-87.8228785342,42.1344350081,"(42.1344350081, -87.8228785342)"
THE SEASON AT GLENVIEW PL,Y,8300027,,,,,,4501   CONCORD LN,NORTHBROOK,-87.869614021,42.0929842359,"(42.0929842359, -87.869614021)"
GLENVIEW COMMUNITY CHURCH,Y,8300030,,,,,,1000 ELM ST,GLENVIEW,-87.8099175767,42.0737321951,"(42.0737321951, -87.8099175767)"
PLEASANTRIDGE SCHOOL,Y,8300031,8300056,,,,,1730   SUNSET RIDGE,GLENVIEW,-87.7911790888,42.086630504,"(42.086630504, -87.7911790888)"
NORTHBROOK SPORTS COMPLEX,Y,8300017,8300036,8300049,,,,1730   PFINGSTEN RD,NORTHBROOK,-87.8496096343,42.121096793,"(42.121096793, -87.8496096343)"
NORTHFIELD COMMUNITY CHURCH,,8300037,,,,,,400   WAGNER RD,NORTHFIELD,-87.7811225849,42.1022380635,"(42.1022380635, -87.7811225849)"
C CROWLEY PARK FIELDHOUSE,Y,8300038,,,,,,749 HUBER LN,GLENVIEW,-87.8350191057,42.0675649649,"(42.0675649649, -87.8350191057)"
INDIAN TRAIL FIELD HOUSE,Y,8300039,,,,,,1519   FOREST DR,GLENVIEW,-87.8766399391,42.0826287477,"(42.0826287477, -87.8766399391)"
GLENVIEW NEW CHURCH,Y,8300044,,,,,,74   PARK DR,GLENVIEW,-87.8230283527,42.0750258209,"(42.0750258209, -87.8230283527)"
OUR LADY OF THE BROOK,Y,8300047,,,,,,3700   DUNDEE RD,NORTHBROOK,-87.8709326077,42.1388210598,"(42.1388210598, -87.8709326077)"
FIELD SCHOOL,Y,8300011,8300050,8300060,,,,2055   LANDWEHR RD,NORTHBROOK,-87.8580500764,42.1155755238,"(42.1155755238, -87.8580500764)"
BERNARD WEINGER JCC,Y,8300055,,,,,,300   REVERE DR,NORTHBROOK,-87.8031327897,42.1491412267,"(42.1491412267, -87.8031327897)"
ST PHILIP LUTHERAN CHURCH,Y,8300057,8300061,,,,,1609   PFINGSTEN RD,GLENVIEW,-87.8485597802,42.084494129,"(42.084494129, -87.8485597802)"
UNDERWRITERS LABORATORIES,Y,8300058,,,,,,333   PFINGSTEN RD BLDG 6,NORTHBROOK,-87.8474874042,42.1465905118,"(42.1465905118, -87.8474874042)"
GLORIA DEI LUTHERAN CHURCH,Y,8300032,8300062,,,,,1133   PFINGSTEN RD,NORTHBROOK,-87.8479056783,42.1317029414,"(42.1317029414, -87.8479056783)"
